DEPT,DEN,DT,GR,NEUT,RES_DEP,Facies,velocity
10681.0,2.392,103.6947,116.3131,0.3646,1.8453,shale,9643.694422183584
10681.5,2.3955,103.1152,119.1458,0.3599,1.8849,shale,9697.89129051779
10682.0,2.3983,105.8203,121.3081,0.3524,1.9195,shale,9449.98265928182
10682.5,2.3933,106.5723,119.7261,0.323,1.9715,shale,9383.30128935943
10683.0,2.3828,105.8887,118.5396,0.3319,2.043,shale,9443.878336404168
10683.5,2.3715,106.2467,116.2381,0.3602,2.1537,shale,9412.057033300798
10684.0,2.3639,107.7018,119.5368,0.38,2.2848,shale,9284.895888462403
10684.5,2.3574,105.1628,114.8753,0.3572,2.3912,shale,9509.065943470505
10685.0,2.3543,105.8854,113.364,0.3477,2.2823,shale,9444.172662142279
10685.5,2.3553,104.8014,113.0145,0.3159,2.4339,shale,9541.85726526554
10686.0,2.3511,104.8438,114.4454,0.3267,2.5393,shale,9537.998431953058
10686.5,2.3336,105.4004,115.7913,0.318,2.4223,shale,9487.630027969533
10687.0,2.3134,105.6055,114.6332,0.3297,2.4041,shale,9469.20378199999
10687.5,2.3053,106.3184,120.5183,0.3464,2.5957,shale,9405.709641981068
10688.0,2.3095,106.9271,123.1525,0.3583,2.6206,shale,9352.166101951703
10688.5,2.312,105.0065,117.683,0.3653,2.5794,shale,9523.219991143405
10689.0,2.3112,105.1888,111.1053,0.3462,2.6342,shale,9506.715543860182
10689.5,2.3139,107.5456,107.1595,0.369,2.8766,shale,9298.38133777672
10690.0,2.3208,105.7357,109.234,0.3856,3.0582,shale,9457.543667843502
10690.5,2.3233,107.7995,110.3836,0.3941,2.8966,shale,9276.480874215558
10691.0,2.321,104.9479,115.0313,0.3793,2.6841,shale,9528.537493365755
10691.5,2.3226,102.5065,115.9576,0.3517,2.5021,shale,9755.478920848922
10692.0,2.326,103.4049,112.898,0.3415,2.4155,shale,9670.721600233644
10692.5,2.3138,105.4492,99.3912,0.294,2.6101,shale,9483.239322820846
10693.0,2.2781,104.1146,90.8979,0.2894,2.9296,shale,9604.800863663693
10693.5,2.2512,106.1686,89.7952,0.2912,3.1939,shale,9418.98075325473
10694.0,2.2651,104.6354,101.782,0.3014,3.7127,shale,9556.995051387961
10694.5,2.3048,103.9453,110.2971,0.3153,4.7222,shale,9620.444599226708
10695.0,2.3327,105.2116,116.4398,0.3174,4.4488,shale,9504.655380205224
10695.5,2.3346,104.9968,112.4853,0.3268,3.6648,shale,9524.099782088597
10696.0,2.3349,104.1439,112.2714,0.3148,2.8283,shale,9602.098634677595
10696.5,2.3508,104.222,122.6454,0.3219,2.4942,shale,9594.90318742684
10697.0,2.3783,104.1862,125.3685,0.3131,2.2923,shale,9598.200145508714
10697.5,2.394,105.1302,125.8471,0.3203,2.1579,shale,9512.014625673688
10698.0,2.3875,106.5495,112.2225,0.3332,2.058,shale,9385.309175547516
10698.5,2.3696,108.2845,108.5521,0.3648,2.1303,shale,9234.932053987413
10699.0,2.3528,111.0742,105.7406,0.3639,2.3558,shale,9002.990793541614
10699.5,2.3198,113.0469,107.6419,0.3393,2.4292,shale,8845.886087986491
10700.0,2.2575,113.584,109.5776,0.3056,2.509,shale,8804.056909423862
10700.5,2.1895,111.7708,113.8105,0.3016,3.38,shale,8946.880580616762
10701.0,2.1625,110.1758,113.7397,0.3189,4.3446,shale,9076.403348103668
10701.5,2.1794,107.8516,113.5726,0.3398,4.7171,shale,9271.99967362561
10702.0,2.2111,107.4805,110.4077,0.3399,4.9721,shale,9304.013286130972
10702.5,2.2277,106.0807,107.8921,0.3178,4.2445,shale,9426.78545673247
10703.0,2.2304,106.1816,110.3751,0.3127,3.6628,shale,9417.82757087857
10703.5,2.2335,106.3216,108.0163,0.292,3.3709,shale,9405.426554905118
10704.0,2.2459,105.957,105.8741,0.3249,3.6029,shale,9437.790801929084
10704.5,2.2695,104.3229,101.9612,0.3172,3.7202,shale,9585.62309905112
10705.0,2.2997,103.0697,100.8027,0.3212,3.8306,shale,9702.17241342509
10705.5,2.3323,102.0573,100.9398,0.2863,4.1558,shale,9798.417163691378
10706.0,2.3537,101.377,101.1948,0.2996,4.3844,shale,9864.1703739507
10706.5,2.3577,102.6823,107.6813,0.3149,3.905,shale,9738.776790157603
10707.0,2.3382,104.489,105.7499,0.3474,3.334,shale,9570.385399420034
10707.5,2.304,109.2383,106.0424,0.352,3.2715,shale,9154.298446607098
10708.0,2.2724,110.4167,96.1472,0.3595,3.4675,shale,9056.601039516667
10708.5,2.2545,111.849,99.2796,0.3277,4.1722,shale,8940.625307333994
10709.0,2.2431,112.832,93.2767,0.3142,5.4592,shale,8862.73397617697
10709.5,2.2215,115.1367,94.1031,0.2872,7.4246,shale,8685.32796232652
10710.0,2.1801,114.5508,89.4066,0.2694,8.1257,shale,8729.751341762782
10710.5,2.1419,112.9948,84.6944,0.2626,7.4278,shaly sand,8849.964777140187
10711.0,2.1351,109.8372,82.1952,0.2879,6.3311,shaly sand,9104.383578605428
10711.5,2.1665,106.0091,82.2151,0.3114,4.3964,shaly sand,9433.152436913435
10712.0,2.2277,104.069,89.5861,0.3272,3.4324,shale,9609.00940722021
