Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,Facies,velocity,Facies_code
9221.5,115.5005,0.7891,124.8307,2.3484,0.4757,0.1946,6.636146318815838,3.0,1267266.5061462426,2
9222.0,116.392,0.8074,123.7532,2.3476,0.5119,0.1951,6.790705552511368,3.0,1238543.472875898,2
9222.5,117.5095,0.839,121.7904,2.3551,0.5122,0.1903,5.444086442488398,3.0,1191895.1132300359,2
9223.0,112.951,0.869,120.8463,2.3624,0.4713,0.1855,4.364506304109309,3.0,1150747.986191024,2
9223.5,110.8155,0.8852,120.8333,2.3593,0.4537,0.1875,4.7855395687098765,3.0,1129688.2060551287,2
9224.0,109.3976,0.8975,121.5299,2.3497,0.4616,0.1937,6.366750766326225,3.0,1114206.128133705,2
9224.5,116.4791,0.9076,120.5534,2.3435,0.5012,0.1977,7.654369479936888,3.0,1101806.9634200088,2
9225.0,116.2883,0.9308,119.8861,2.347,0.4733,0.1955,6.916940772623375,3.0,1074344.6497636442,2
9225.5,120.9987,0.979,119.4955,2.3574,0.4537,0.1888,5.080754057247247,3.0,1021450.4596527069,2
9226.0,116.8227,0.998,118.6165,2.3673,0.4567,0.1824,3.7839174760743735,3.0,1002004.008016032,2
9226.5,117.5805,1.01,118.3594,2.3742,0.4793,0.1779,3.0757507382240146,3.0,990099.0099009901,2
9227.0,112.2337,1.0012,117.2787,2.3732,0.4703,0.1786,3.176505869434515,3.0,998801.438274071,2
9227.5,118.7058,1.0166,117.4349,2.3643,0.4335,0.1843,4.129882097356226,3.0,983671.0603974032,2
9228.0,118.6058,1.0003,117.9329,2.3534,0.4467,0.1914,5.726940814931425,3.0,999700.0899730081,2
9228.5,119.8645,0.9669,118.5807,2.3487,0.4634,0.1944,6.57531214318738,3.0,1034233.116144379,2
9229.0,116.8447,0.948,118.929,2.3532,0.4512,0.1915,5.753372381639467,3.0,1054852.3206751056,2
9229.5,119.3574,1.0071,117.9232,2.3588,0.4184,0.1879,4.874499933157932,3.0,992950.0546122529,2
9230.0,121.7265,1.0103,117.6302,2.3607,0.4207,0.1866,4.591269729839967,3.0,989805.0084133426,2
9230.5,124.3564,0.8948,118.0176,2.3593,0.4352,0.1875,4.7855395687098765,3.0,1117568.1716584712,2
9231.0,121.3137,0.8819,118.4082,2.3545,0.4542,0.1906,5.519813195785528,3.0,1133915.4099104207,2
9231.5,114.8237,0.9777,118.9844,2.3474,0.4691,0.1952,6.822046715726798,3.0,1022808.6325048583,2
9232.0,111.8204,1.0319,118.4375,2.3397,0.4537,0.2002,8.58823965545762,3.0,969086.1517588913,2
9232.5,117.1748,1.124,118.0534,2.3352,0.4624,0.2031,9.815174952927746,3.0,889679.715302491,2
9233.0,125.1821,1.1093,117.7116,2.3345,0.4303,0.2035,9.9976332793917,3.0,901469.3951140359,2
9233.5,127.7102,1.1206,117.3437,2.3389,0.4425,0.2007,8.788264138971122,3.0,892379.082634303,2
9234.0,122.9426,1.1454,118.099,2.349,0.4365,0.1942,6.51503564015183,3.0,873057.4471800245,2
9234.5,119.7996,1.1288,118.151,2.3634,0.4496,0.1849,4.245573747933186,3.0,885896.527285613,2
9235.0,110.3389,1.1159,117.0052,2.3741,0.4636,0.178,3.089946259610008,3.0,896137.6467425397,2
9235.5,114.1248,1.0595,117.308,2.3737,0.4529,0.1783,3.1329271344684027,3.0,943841.4346389805,2
9236.0,114.1394,1.0679,118.2389,2.3593,0.4364,0.1875,4.7855395687098765,3.0,936417.2675344133,2
9236.5,120.5343,1.0444,118.0045,2.3449,0.4252,0.1968,7.343638975222041,3.0,957487.5526618154,2
9237.0,117.3082,1.002,118.3073,2.3383,0.4123,0.2011,8.951632797707209,3.0,998003.9920159681,2
9237.5,119.7,0.9581,118.6263,2.3394,0.4258,0.2004,8.667697248977452,3.0,1043732.3870159691,2
9238.0,117.9788,0.9337,118.1478,2.3423,0.4521,0.1985,7.941595020042655,3.0,1071007.818357074,2
9238.5,113.1484,0.9575,117.7279,2.3499,0.4821,0.1936,6.337501278125068,3.0,1044386.4229765013,2
9239.0,108.6974,1.0054,116.7676,2.3613,0.4784,0.1863,4.528281737706884,3.0,994629.0033817386,2
9239.5,110.6104,1.1113,116.6862,2.3713,0.482,0.1798,3.3569674788203305,3.0,899847.026005579,2
9240.0,114.9611,1.219,116.849,2.3702,0.4845,0.1805,3.4669346795412923,3.0,820344.5447087777,2
9240.5,115.9471,1.3117,117.3991,2.364,0.5252,0.1845,4.168091381929227,3.0,762369.4442326751,2
9241.0,115.6578,1.3438,118.5124,2.36,0.5211,0.1871,4.6982027444303,3.0,744158.356898348,2
9241.5,112.2256,1.2438,118.138,2.3639,0.4978,0.1846,4.187328386285793,3.0,803987.7793857533,2
9242.0,114.5407,1.078,118.6068,2.3698,0.4335,0.1808,3.5151594294508266,3.0,927643.7847866418,2
9242.5,113.8288,0.9426,118.3398,2.3696,0.4082,0.1809,3.531382955055752,3.0,1060895.3957139826,2
