Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,velocity,GRI,vshale,PHIeff,formation_factor,swirr,permeability,Facies_code
7011.0,84.6407,0.9005,154.0,2.0887,0.3913,0.3621,7904.10921693665,6493.506493506494,0.6259,0.33024954800872197,0.31784656056683125,5.5069402082335595,0.0524735181221612,3787.1573816729247,2
7011.5,81.7939,0.9059,154.0,2.0952,0.4315,0.3579,7483.687571615195,6493.506493506494,0.5926,0.2964219759909442,0.31817945521721347,5.646821218630201,0.0531357752302072,3706.8619520506845,2
7012.0,82.0628,0.8956,155.5,2.0999,0.5419,0.3549,7197.148195236562,6430.868167202572,0.5958,0.2995486525755489,0.31476048055487643,5.749946328638247,0.05361877622921959,3650.081578844525,2
7012.5,80.649,0.8837,155.6,2.1003,0.5519,0.3546,7169.104732072929,6426.735218508998,0.5793,0.28369821454326055,0.3165844392512031,5.760410286938837,0.05366754273738848,3644.429827161567,2
7013.0,81.751,0.9128,155.4,2.0971,0.6766,0.3567,7367.727708002679,6435.006435006435,0.5921,0.29593574655412663,0.31704460996174705,5.687743521253689,0.05332796415227985,3684.092452278301,2
7013.5,78.4761,0.9584,154.8,2.0934,0.6356,0.3591,7601.472514886183,6459.948320413436,0.5539,0.26057218462421466,0.3241833272603552,5.606328849067525,0.05294491877917807,3729.707919163446,1
7014.0,76.3656,0.9513,155.6,2.0911,0.7281,0.3606,7751.31401552036,6426.735218508998,0.5293,0.23956574556538612,0.32849819009423825,5.556308954540572,0.052708201233491986,3758.3729102782218,1
7014.5,76.8651,0.9196,154.1,2.0881,0.7417,0.3625,7945.360854206189,6489.2926670992865,0.5351,0.24439975485435958,0.3297504328495158,5.493883756221152,0.05241127624958751,3794.853419607462,1
7015.0,77.5147,0.9066,154.7,2.0819,0.6154,0.3665,8369.905675257141,6464.124111182935,0.5427,0.25084379865539375,0.33288693098017724,5.365777186910461,0.051796607933871794,3872.281099868316,1
7015.5,79.8158,0.9139,154.1,2.073,0.7035,0.3723,9026.11002213794,6489.2926670992865,0.5696,0.27468837762347464,0.33549175739845444,5.18766187546802,0.05092966657787983,3986.060406704359,1
