DEPTH(m)	CALI	GR	RESS	RESD	DENSITY	NEUTRON	
2555.748	13.324	112.725	1.349	1.469	2.152	0.654	311.95
2555.9	13.298	115.991	1.316	1.429	2.129	0.445	317.33
2556.053	13.152	116.888	1.362	1.48	2.162	0.431	314.398
2556.205	13.094	122.975	1.415	1.542	2.22	0.499	306.026
2556.358	12.885	123.671	1.483	1.632	2.252	0.444	293.735
2556.51	12.788	125.095	1.574	1.748	2.258	0.378	280.956
2556.662	12.781	124.421	1.67	1.849	2.27	0.391	271.6
2556.815	12.775	120.216	1.753	1.936	2.295	0.407	263.527
2556.967	12.882	119.677	1.829	2.017	2.31	0.409	256.174
2557.12	12.965	121.646	1.853	2.038	2.31	0.357	251.702
2557.272	13.036	123.966	1.844	2.021	2.306	0.374	249.332
2557.424	12.982	127.445	1.832	2.004	2.307	0.407	248.387
2557.577	12.875	128.914	1.828	1.996	2.314	0.465	252.318
2557.729	12.849	126.669	1.818	1.976	2.317	0.551	257.746
2557.882	12.782	118.904	1.812	1.967	2.308	0.551	257.667
2558.034	12.693	117.454	1.816	1.968	2.296	0.71	256.503
2558.186	12.635	122.384	1.811	1.949	2.288	0.75	258.686
2558.339	12.694	126.465	1.782	1.908	2.28	0.713	262.609
2558.491	12.667	123.024	1.72	1.838	2.253	0.559	266.374
2558.644	12.538	122.594	1.639	1.746	2.213	0.498	266.973
2558.796	12.503	117.99	1.557	1.645	2.186	0.451	265.349
2558.948	12.571	125.666	1.51	1.589	2.184	0.471	268.857
2559.101	12.566	128.292	1.47	1.543	2.191	0.521	279.661
2559.253	12.518	124.551	1.437	1.512	2.201	0.582	288.614
2559.406	12.473	116.162	1.435	1.515	2.216	0.566	290.165
2559.558	12.872	117.941	1.477	1.558	2.234	0.465	286.449
2559.71	12.824	121.118	1.536	1.627	2.249	0.384	279.289
2559.863	12.406	120.362	1.587	1.702	2.26	0.441	271.192
2560.015	12.425	120.077	1.648	1.787	2.268	0.613	264.917
2560.167	12.469	120.114	1.685	1.832	2.272	0.62	262.2
