DEPTH(m),CALI,GR,RESS,RESD,DENSITY,NEUTRON,Depth_ft,PERM
2148.23,12.322,83.41,2.029,1.811,2.167,0.465,7048.0,0.2324
2148.383,12.289,78.009,2.28,2.03,2.155,0.417,7048.5,234.745
2148.535,12.206,70.891,2.64,2.366,2.135,0.368,7049.0,312.11
2148.688,12.123,65.853,2.892,2.606,2.113,0.336,7049.5,424.59
2148.84,12.109,68.998,2.862,2.564,2.102,0.343,7050.0,492.571
2148.992,12.092,72.914,2.483,2.181,2.105,0.374,7050.5,471.717
2149.145,12.08,80.941,2.004,1.738,2.112,0.399,7051.0,431.59
2149.297,12.09,85.185,1.631,1.414,2.111,0.462,7051.5,0.2324
2149.45,12.076,91.484,1.46,1.269,2.102,0.44,7052.0,0.2324
2149.602,12.049,91.79,1.447,1.259,2.095,0.492,7052.5,0.2324
2176.272,12.424,94.345,1.224,1.108,2.214,0.642,7140.0,0.2324
2176.424,12.31,97.734,1.101,0.985,2.191,0.516,7140.5,0.2324
2176.577,12.124,96.849,1.064,0.941,2.159,0.463,7141.0,0.2324
2176.729,12.082,89.598,1.257,1.106,2.143,0.401,7141.5,277.278
2176.882,12.145,79.704,1.657,1.461,2.148,0.305,7142.0,260.211
2177.034,12.212,77.89,2.057,1.809,2.157,0.298,7142.5,230.811
2177.186,12.226,78.056,2.374,2.065,2.169,0.306,7143.0,194.527
2177.339,12.278,77.887,2.518,2.156,2.199,0.387,7143.5,0.2324
2177.491,12.384,78.687,2.686,2.306,2.24,0.4,7144.0,0.2324
2177.644,12.441,82.009,2.734,2.366,2.264,0.431,7144.5,0.2324
2177.796,12.419,85.908,2.521,2.19,2.258,0.456,7145.0,0.2324
2177.948,12.409,91.489,2.267,1.992,2.228,0.423,7145.5,0.2324
2267.712,12.262,99.295,1.477,1.401,2.197,0.451,7440.0,0.2324
2267.865,12.242,94.767,1.499,1.434,2.189,0.424,7440.5,0.2324
2268.017,12.217,86.154,1.494,1.427,2.175,0.451,7441.0,0.2324
2268.169,12.193,78.499,1.458,1.391,2.155,0.413,7441.5,234.71
2268.322,12.175,68.765,1.393,1.346,2.138,0.406,7442.0,298.854
2268.474,12.154,59.928,1.288,1.247,2.128,0.347,7442.5,345.333
2268.626,12.148,59.318,1.228,1.184,2.124,0.363,7443.0,361.843
2268.779,12.158,69.687,1.202,1.153,2.129,0.37,7443.5,337.195
