Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
9666.0,43.3377,3.1363,2.1499,0.2727,0.0949,0.0673171936353954,freeman_4
9666.5,43.5624,3.0427,2.1498,0.2794,0.095,0.0676278828762433,freeman_4
9667.0,42.5807,3.2457,2.1584,0.2967,0.0876,0.0480995908632026,freeman_4
9667.5,42.4527,3.5044,2.1829,0.2922,0.0665,0.0182047968127086,freeman_4
9668.0,44.7042,3.6476,2.1908,0.2846,0.0597,0.0133106775368923,freeman_4
9668.5,43.719,3.4264,2.1702,0.2773,0.0774,0.0300720387117385,freeman_4
9669.0,42.333,3.1098,2.1361,0.2857,0.1068,0.1164396607464701,freeman_4
9669.5,40.8044,3.0144,2.1173,0.2709,0.123,0.2455086515925967,freeman_4
9670.0,43.8969,3.1426,2.1233,0.2676,0.1178,0.1932314249297733,freeman_4
9670.5,44.2695,3.1786,2.1305,0.2569,0.1116,0.1452415311763817,freeman_4
9671.0,44.9798,3.2827,2.1291,0.2628,0.1128,0.153492899674692,freeman_4
9671.5,43.7393,3.3856,2.1195,0.2727,0.1211,0.2249421304020702,freeman_4
9672.0,45.9838,3.314,2.1138,0.2838,0.126,0.2818775451398987,freeman_4
9672.5,48.1176,3.3403,2.1196,0.2801,0.121,0.2239087238135894,freeman_4
9673.0,49.1711,3.2717,2.1246,0.2615,0.1167,0.183687699020771,freeman_4
9673.5,49.2034,3.1399,2.1204,0.2478,0.1203,0.216806595319481,freeman_4
9674.0,48.2247,3.0459,2.1104,0.2506,0.129,0.3236340142747604,freeman_4
9674.5,49.0475,2.9952,2.1069,0.2457,0.132,0.3715761578085723,freeman_4
9675.0,47.0049,3.0333,2.1143,0.2391,0.1256,0.2767332371105165,freeman_4
9675.5,45.5827,3.2042,2.1257,0.2249,0.1158,0.176230863865865,freeman_4
9676.0,46.6067,3.4212,2.1358,0.2259,0.1071,0.1180593259660621,freeman_4
9676.5,49.6925,3.6591,2.1443,0.2159,0.0997,0.0839684023074432,freeman_4
9677.0,50.3383,3.9486,2.149,0.2274,0.0957,0.0698432302150262,freeman_4
9677.5,48.8304,4.2948,2.1466,0.212,0.0978,0.0769342798266746,freeman_4
9678.0,50.9315,4.6179,2.1381,0.2284,0.1051,0.1076724296267147,freeman_4
9678.5,53.6257,4.8895,2.1278,0.2419,0.114,0.162213039615602,freeman_4
9679.0,51.582,4.9406,2.1203,0.2505,0.1204,0.2178072234335325,freeman_4
9679.5,52.2664,4.8732,2.1168,0.262,0.1234,0.2500725129518528,freeman_4
9680.0,51.5508,4.8193,2.1148,0.2494,0.1252,0.2716828134843357,freeman_4
9680.5,51.977,4.7535,2.1118,0.2674,0.1278,0.306236313690381,freeman_4
9681.0,49.2,4.8478,2.1114,0.2617,0.1281,0.3104960333003539,freeman_4
9681.5,48.0733,4.9381,2.1174,0.2783,0.1229,0.2443807603539417,freeman_4
9682.0,47.2785,5.0556,2.1289,0.2622,0.113,0.1549130016885873,freeman_4
9682.5,48.2508,5.2912,2.1506,0.2406,0.0943,0.0654828038199603,freeman_4
9683.0,44.483,5.6211,2.1809,0.2193,0.0682,0.0196871229912719,freeman_4
9683.5,42.4939,5.5837,2.2135,0.2082,0.0401,0.005398106591887,freeman_4
9684.0,39.1134,5.7705,2.2303,0.2198,0.0256,0.0027686751628293,freeman_4
9684.5,40.2576,6.0193,2.2253,0.2294,0.0299,0.003374915825438,freeman_4
9685.0,40.5317,5.5942,2.2161,0.2277,0.0378,0.0048556380010877,freeman_4
9685.5,37.4077,4.5974,2.2195,0.2223,0.0349,0.0042486642401672,freeman_4
9686.0,34.0285,3.7925,2.2398,0.1973,0.0174,0.0018979697251714,freeman_4
9686.5,34.876,3.4209,2.2613,0.1829,-0.0011,0.0008097076765963,freeman_4
9687.0,38.8583,3.4677,2.275,0.158,-0.0129,0.0004702763265179,freeman_4
