DEPTH(m),CALI,GR,RESD,RESM,DENSITY,NEUTRON,DTC,DTS
2380.031,18.923,92.741,0.933,0.998,2.238,0.477,137.507,
2380.183,19.03,94.616,0.933,0.998,2.238,0.473,137.507,
2380.336,18.99,95.684,0.933,0.998,2.238,0.48,137.507,
2380.488,19.207,96.831,0.933,0.998,2.238,0.465,137.507,
2380.64,19.315,96.329,0.933,0.998,2.238,0.442,137.507,
2380.793,18.464,94.055,0.933,0.998,2.238,0.467,137.507,
2380.945,17.723,95.275,0.933,0.998,2.238,0.527,137.507,
2381.098,17.09,98.189,0.933,0.998,2.238,0.542,137.507,
2381.25,16.958,96.376,0.933,0.998,2.238,0.548,137.507,
2381.402,17.935,99.309,0.933,0.998,2.238,0.512,137.507,
2381.555,18.759,108.049,0.933,0.998,2.238,0.531,137.507,
2381.707,19.001,117.578,0.933,0.998,2.238,0.502,137.507,
2381.86,18.879,128.178,0.933,0.998,2.238,0.556,137.507,
2382.012,18.599,129.969,0.933,0.998,2.238,0.511,137.507,
2382.164,17.911,129.831,0.933,0.998,2.238,0.527,137.507,
2382.317,17.398,124.838,0.933,0.998,2.238,0.473,137.507,
2382.469,17.558,130.806,0.933,0.998,2.238,0.507,137.507,
2382.622,17.561,127.913,0.933,0.998,2.238,0.518,137.507,
2382.774,17.307,124.764,0.933,0.998,2.238,0.549,137.507,
